CR,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
01,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
01,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
01,13,0,,0,,0,6,VITA,2-20220925000000-6.png
01,17,0,,0,,0,16,+EUROPA,2-20220925000000-16.png
01,17,0,,0,,1,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
01,17,0,,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
01,17,0,,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
01,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
01,22,0,,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
01,22,0,,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
01,22,0,,0,,2,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
01,22,0,,0,,3,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
01,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
01,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
02,1,23,6.80,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
02,8,4,1.18,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
02,17,26,7.69,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
02,17,8,2.37,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
02,17,5,1.48,0,,2,16,+EUROPA,2-20220925000000-16.png
02,17,3,0.89,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
02,21,3,0.89,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
02,22,140,41.42,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
02,22,49,14.50,0,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
02,22,31,9.17,0,,2,11,FORZA ITALIA,2-20220925000000-11.png
02,22,1,0.30,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
02,25,33,9.76,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
02,34,12,3.55,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
03,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
03,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
03,9,0,,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
03,13,0,,0,,0,6,VITA,2-20220925000000-6.png
03,17,0,,0,,0,16,+EUROPA,2-20220925000000-16.png
03,17,0,,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
03,17,0,,0,,2,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
03,17,0,,0,,3,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
03,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
03,22,0,,0,,0,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
03,22,0,,0,,1,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
03,22,0,,0,,2,11,FORZA ITALIA,2-20220925000000-11.png
03,22,0,,0,,3,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
03,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
03,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
04,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
04,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
04,9,0,,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
04,13,0,,0,,0,6,VITA,2-20220925000000-6.png
04,17,0,,0,,0,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
04,17,0,,0,,1,16,+EUROPA,2-20220925000000-16.png
04,17,0,,0,,2,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
04,17,0,,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
04,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
04,22,0,,0,,0,11,FORZA ITALIA,2-20220925000000-11.png
04,22,0,,0,,1,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
04,22,0,,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
04,22,0,,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
04,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
