CR_CP,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
01-011,1,55024,9.69,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
01-011,8,8641,1.52,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
01-011,13,4777,0.84,0,,0,6,VITA,2-20220925000000-6.png
01-011,17,138917,24.47,1,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
01-011,17,32755,5.77,1,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
01-011,17,28473,5.01,1,,2,16,+EUROPA,2-20220925000000-16.png
01-011,17,2655,0.47,1,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
01-011,21,9358,1.65,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
01-011,22,123439,21.74,1,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
01-011,22,41730,7.35,1,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
01-011,22,33671,5.93,1,,2,11,FORZA ITALIA,2-20220925000000-11.png
01-011,22,2995,0.53,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
01-011,25,73256,12.90,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
01-011,34,12116,2.13,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
01-012,1,40380,8.21,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
01-012,8,7849,1.59,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
01-012,13,5426,1.10,0,,0,6,VITA,2-20220925000000-6.png
01-012,17,95003,19.31,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
01-012,17,20046,4.07,0,,1,16,+EUROPA,2-20220925000000-16.png
01-012,17,19813,4.03,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
01-012,17,2330,0.47,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
01-012,21,8207,1.67,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
01-012,22,129992,26.42,1,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
01-012,22,48912,9.94,1,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
01-012,22,38935,7.91,1,,2,11,FORZA ITALIA,2-20220925000000-11.png
01-012,22,3256,0.66,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
01-012,25,58795,11.95,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
01-012,34,13159,2.67,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
02-021,1,36363,8.60,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
02-021,8,7037,1.66,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
02-021,17,74487,17.62,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
02-021,17,14288,3.38,0,,1,16,+EUROPA,2-20220925000000-16.png
02-021,17,13634,3.23,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
02-021,17,2060,0.49,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
02-021,21,4452,1.05,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
02-021,22,130742,30.93,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
02-021,22,54883,12.98,2,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
