CR,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
01,1,177917,8.62,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
01,8,28858,1.40,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
01,9,2130,0.10,0,,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png
01,13,17198,0.83,0,,0,6,VITA,3-20220925000000-6.png
01,21,27112,1.31,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
01,22,556510,26.96,2,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
01,22,224811,10.89,2,,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
01,22,162164,7.86,2,,2,11,FORZA ITALIA,3-20220925000000-11.png
01,22,11647,0.56,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
01,25,211564,10.25,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
01,27,413169,20.01,1,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
01,27,86286,4.18,1,,1,18,+EUROPA,3-20220925000000-18.png
01,27,81112,3.93,1,,2,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
01,27,9986,0.48,1,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
01,28,5167,0.25,0,,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png
01,34,48709,2.36,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
03,1,505699,10.11,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
03,8,57505,1.15,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
03,9,6056,0.12,0,,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png
03,13,39583,0.79,0,,0,6,VITA,3-20220925000000-6.png
03,21,54925,1.10,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
03,22,1381664,27.61,7,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
03,22,694198,13.87,7,,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
03,22,397090,7.94,7,,2,11,FORZA ITALIA,3-20220925000000-11.png
03,22,50754,1.01,7,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
03,25,365330,7.30,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
03,27,962660,19.24,1,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
03,27,191349,3.82,1,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
03,27,188120,3.76,1,,2,18,+EUROPA,3-20220925000000-18.png
03,27,18118,0.36,1,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
03,34,90572,1.81,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
05,1,210033,8.37,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
05,8,26627,1.06,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
05,13,42537,1.69,0,,0,6,VITA,3-20220925000000-6.png
05,21,23303,0.93,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
05,22,817771,32.57,4,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
05,22,366266,14.59,4,,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
05,22,174377,6.95,4,,2,11,FORZA ITALIA,3-20220925000000-11.png
05,22,51939,2.07,4,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
05,25,145545,5.80,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
05,27,404957,16.13,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
05,27,87476,3.48,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
05,27,81708,3.25,0,,2,18,+EUROPA,3-20220925000000-18.png
05,27,7864,0.31,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
05,28,8604,0.34,0,,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png
05,34,61777,2.46,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
06,1,48767,8.23,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
06,8,10883,1.84,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
06,9,743,0.13,0,,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png
06,13,8908,1.50,0,,0,6,VITA,3-20220925000000-6.png
06,21,6891,1.16,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
06,22,191331,32.29,1,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
06,22,64525,10.89,1,,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
06,22,37761,6.37,1,,2,11,FORZA ITALIA,3-20220925000000-11.png
06,22,4655,0.79,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
06,25,43778,7.39,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
06,27,109367,18.46,0,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
06,27,22271,3.76,0,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16-A.png
06,27,20031,3.38,0,,2,18,+EUROPA,3-20220925000000-18.png
06,27,2261,0.38,0,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
06,28,2386,0.40,0,,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png
06,34,17925,3.03,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
07,1,51948,7.22,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
07,8,11450,1.59,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
