CR_CP,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis,seggi
01-011,1,77753,8.88,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
01-011,8,12874,1.47,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
01-011,9,815,0.09,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
01-011,13,8151,0.93,0,0,0,6,VITA,3-20220925000000-6.png,0
01-011,21,13735,1.57,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
01-011,22,202421,23.11,0,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
01-011,22,75650,8.64,0,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
01-011,22,57928,6.61,0,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
01-011,22,4679,0.53,0,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
01-011,25,111617,12.74,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
01-011,27,197850,22.59,1,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
01-011,27,42997,4.91,1,0,1,18,+EUROPA,3-20220925000000-18.png,0
01-011,27,42311,4.83,1,0,2,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
01-011,27,4483,0.51,1,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
01-011,28,2166,0.25,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
01-011,34,20440,2.33,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
01-012,1,100164,8.43,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
01-012,8,15984,1.34,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
01-012,9,1315,0.11,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
01-012,13,9047,0.76,0,0,0,6,VITA,3-20220925000000-6.png,0
01-012,21,13377,1.13,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
01-012,22,354089,29.79,2,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
01-012,22,149161,12.55,2,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
01-012,22,104236,8.77,2,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
01-012,22,6968,0.59,2,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
01-012,25,99947,8.41,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
01-012,27,215319,18.12,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
01-012,27,43289,3.64,0,0,1,18,+EUROPA,3-20220925000000-18.png,0
01-012,27,38801,3.26,0,0,2,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
01-012,27,5503,0.46,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
01-012,28,3001,0.25,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
01-012,34,28269,2.38,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
03-031,1,143696,10.01,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
03-031,8,17243,1.20,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
03-031,9,1989,0.14,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
03-031,13,12060,0.84,0,0,0,6,VITA,3-20220925000000-6.png,0
03-031,21,12973,0.90,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
03-031,22,413481,28.79,1,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
03-031,22,214741,14.95,1,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
03-031,22,120426,8.39,1,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
03-031,22,17307,1.21,1,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
03-031,25,99687,6.94,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
03-031,27,248827,17.33,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
03-031,27,52037,3.62,0,0,1,18,+EUROPA,3-20220925000000-18.png,0
03-031,27,49170,3.42,0,0,2,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
03-031,27,5158,0.36,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
03-031,34,27396,1.91,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
