cod_cand,lista,num_lista,cod_lista,desc_lista
1347096,0,16,415559,UNIONE POPOLARE CON DE MAGISTRIS
1347097,0,16,415559,UNIONE POPOLARE CON DE MAGISTRIS
1347116,0,12,415702,UNIONE POPOLARE CON DE MAGISTRIS
1347118,0,4,415681,VITA
1347119,0,5,415685,UNIONE POPOLARE CON DE MAGISTRIS
1347120,0,1,415656,ITALEXIT PER L'ITALIA
1347121,0,2,415660,ITALIA SOVRANA E POPOLARE
1347122,0,3,415677,ALTERNATIVA PER L'ITALIA - NO GREEN PASS
1347123,0,4,415681,VITA
1347124,0,5,415685,UNIONE POPOLARE CON DE MAGISTRIS
1347133,0,14,415571,UNIONE POPOLARE CON DE MAGISTRIS
1347134,0,14,415571,UNIONE POPOLARE CON DE MAGISTRIS
1347135,0,14,415571,UNIONE POPOLARE CON DE MAGISTRIS
1347142,0,1,415447,MASTELLA NOI DI CENTRO EUROPEISTI
1347184,0,11,415427,MOVIMENTO 5 STELLE
1347196,0,16,415556,UNIONE POPOLARE CON DE MAGISTRIS
1347225,0,1,415447,MASTELLA NOI DI CENTRO EUROPEISTI
1347282,0,11,415427,MOVIMENTO 5 STELLE
1347285,0,11,415430,MOVIMENTO 5 STELLE
1347286,0,11,415430,MOVIMENTO 5 STELLE
1347287,0,11,415430,MOVIMENTO 5 STELLE
1347290,0,16,415556,UNIONE POPOLARE CON DE MAGISTRIS
1347293,0,16,415559,UNIONE POPOLARE CON DE MAGISTRIS
1347296,0,15,415564,ITALIA SOVRANA E POPOLARE
1347297,0,15,415564,ITALIA SOVRANA E POPOLARE
1347298,0,15,415564,ITALIA SOVRANA E POPOLARE
1347309,0,15,415688,ITALIA SOVRANA E POPOLARE
1347310,0,15,415688,ITALIA SOVRANA E POPOLARE
1347327,0,12,415699,UNIONE POPOLARE CON DE MAGISTRIS
1347328,0,12,415699,UNIONE POPOLARE CON DE MAGISTRIS
1347334,0,12,415702,UNIONE POPOLARE CON DE MAGISTRIS
1347335,0,12,415702,UNIONE POPOLARE CON DE MAGISTRIS
1347336,0,1,415656,ITALEXIT PER L'ITALIA
1347337,0,2,415660,ITALIA SOVRANA E POPOLARE
1347338,0,3,415677,ALTERNATIVA PER L'ITALIA - NO GREEN PASS
1347341,0,14,415568,UNIONE POPOLARE CON DE MAGISTRIS
1347342,0,14,415568,UNIONE POPOLARE CON DE MAGISTRIS
